_id,District,Nbhood,mahalle_koy_uavt,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,Care In Hospital,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,gecici_barinma
1,ADALAR,BURGAZADA,40139,54,99,256,241,8,6,24,42,0,0,1,398
2,ADALAR,HEYBELIADA,40142,101,175,423,393,25,21,66,113,1,1,2,763
3,ADALAR,KINALIADA,40143,53,97,287,302,5,3,15,27,0,1,1,420
4,ADALAR,MADEN,40140,104,192,483,484,22,18,64,113,1,1,2,847
5,ADALAR,NIZAM,40141,101,180,445,422,16,13,48,83,1,2,2,687
6,ARNAVUTKOY,ADNAN MENDERES,40490,1,3,21,57,0,0,1,3,0,0,0,89
7,ARNAVUTKOY,ANADOLU,99359,2,13,108,371,0,0,8,26,1,1,1,659
8,ARNAVUTKOY,ARNAVUTKOY MERKEZ,40478,1,6,51,199,0,0,2,10,0,1,1,273
9,ARNAVUTKOY,ATATURK,40482,1,6,49,129,0,0,2,8,0,0,0,209
10,ARNAVUTKOY,BAKLALI,191981,1,5,23,65,0,0,0,0,0,0,0,26
11,ARNAVUTKOY,BALABAN,191983,0,1,7,25,0,0,0,0,0,0,0,7
12,ARNAVUTKOY,BOGAZKOY ISTIKLAL,40483,2,14,95,249,0,0,3,10,0,1,1,246
13,ARNAVUTKOY,BOLLUCA,40487,1,6,46,125,0,0,1,5,0,0,0,177
14,ARNAVUTKOY,BOYALIK,191985,1,4,21,63,0,0,0,0,0,0,0,24
15,ARNAVUTKOY,CILINGIR,40494,1,5,28,76,0,0,0,0,0,0,0,38
16,ARNAVUTKOY,DELIKLIKAYA,40910,1,7,50,120,0,0,0,2,1,1,1,173
17,ARNAVUTKOY,DURSUNKOY,40911,1,5,18,45,0,0,0,1,0,0,0,22
18,ARNAVUTKOY,DURUSU,40915,0,2,10,30,0,0,0,0,0,0,0,16
19,ARNAVUTKOY,FATIH,40495,1,4,21,59,0,0,0,1,0,0,0,51
20,ARNAVUTKOY,HACIMASLI,191975,0,3,16,41,0,0,0,0,0,0,0,20
21,ARNAVUTKOY,HADIMKOY,40913,1,7,63,203,0,0,0,4,1,1,1,387
22,ARNAVUTKOY,HARACCI,40489,2,12,82,230,0,0,0,4,1,1,1,209
23,ARNAVUTKOY,HASTANE,40912,1,6,45,147,0,0,0,5,0,0,0,148
24,ARNAVUTKOY,HICRET,40486,0,3,24,61,0,0,0,2,0,0,0,91
25,ARNAVUTKOY,IMRAHOR,40481,3,17,96,255,0,0,2,11,1,1,1,301
26,ARNAVUTKOY,ISLAMBEY,40479,2,11,88,268,0,0,4,18,1,0,1,395
27,ARNAVUTKOY,KARABURUN,191987,0,3,32,112,0,0,0,0,0,0,0,34
28,ARNAVUTKOY,KARLIBAYIR,40488,2,9,60,186,0,0,1,8,0,0,1,188
29,ARNAVUTKOY,MARESAL FEVZI CAKMAK,40493,1,6,50,141,0,0,0,1,0,1,1,115
30,ARNAVUTKOY,MAVIGOL,40485,1,6,53,146,0,0,0,3,0,0,0,146
31,ARNAVUTKOY,MEHMET AKIF ERSOY,40491,1,4,26,73,0,0,0,3,0,0,1,132
32,ARNAVUTKOY,MUSTAFA KEMAL PASA,99358,1,7,53,161,0,0,3,11,0,0,1,254
33,ARNAVUTKOY,NENEHATUN,99357,1,5,43,124,0,0,0,7,0,0,1,180
34,ARNAVUTKOY,OMERLI,40906,1,7,49,124,0,0,0,3,1,0,0,189
35,ARNAVUTKOY,SAZLIBOSNA,40907,0,5,26,68,0,0,0,1,0,0,0,46
36,ARNAVUTKOY,TASOLUK,40492,1,6,44,122,0,0,1,6,0,0,1,120
37,ARNAVUTKOY,TAYAKADIN,191977,3,12,57,162,0,0,0,1,0,0,0,92
38,ARNAVUTKOY,TERKOS,40914,1,4,19,58,0,0,0,0,0,0,0,22
39,ARNAVUTKOY,YASSIOREN,191989,0,1,12,41,0,0,0,0,0,0,0,11
40,ARNAVUTKOY,YAVUZ SELIM,40480,2,9,64,180,0,0,1,9,0,0,1,250
41,ARNAVUTKOY,YENIKOY,191979,1,5,39,121,0,0,0,0,0,1,1,43
42,ARNAVUTKOY,YESILBAYIR,40908,1,4,27,69,0,0,0,0,0,0,0,29
43,ARNAVUTKOY,YUNUS EMRE,40484,1,10,88,244,0,0,5,16,0,0,1,403
44,ATASEHIR,ASIKVEYSEL,98687,5,18,102,266,4,3,12,26,0,0,0,465
45,ATASEHIR,ATATURK,99749,2,12,76,209,2,0,11,30,0,1,1,706
46,ATASEHIR,BARBAROS,40527,14,50,248,498,11,9,42,88,1,1,2,1281
47,ATASEHIR,ESATPASA,40793,5,20,140,422,3,1,14,33,0,0,1,598
48,ATASEHIR,FERHATPASA,40577,4,26,191,493,0,0,5,26,1,1,2,784
49,ATASEHIR,FETIH,40795,1,3,26,102,1,0,3,7,0,0,0,203
50,ATASEHIR,ICERENKOY,40530,23,76,465,1180,19,8,61,133,1,1,3,2792
51,ATASEHIR,INONU,40534,4,17,115,392,2,0,14,36,0,0,1,775
52,ATASEHIR,KAYISDAGI,40533,10,52,352,785,7,2,31,76,1,1,2,1930
53,ATASEHIR,KUCUKBAKKALKOY,40531,13,41,200,501,11,6,35,71,1,1,2,1284
54,ATASEHIR,MEVLANA,99516,1,8,64,188,2,0,7,20,0,0,0,470
55,ATASEHIR,MIMAR SINAN,99519,2,13,81,203,1,0,7,18,0,0,0,370
56,ATASEHIR,MUSTAFA KEMAL,40740,8,28,145,345,6,4,18,40,0,0,1,643
57,ATASEHIR,ORNEK,40816,9,31,181,463,7,4,25,54,0,0,1,966
58,ATASEHIR,YENI CAMLICA,40746,5,24,152,319,3,1,11,28,0,0,1,630
59,ATASEHIR,YENISAHRA,40526,17,51,205,397,10,9,32,64,0,0,1,671
60,ATASEHIR,YENISEHIR,99517,0,1,13,70,0,0,2,5,1,1,0,134
61,AVCILAR,AMBARLI,40146,26,105,388,634,67,35,191,364,2,2,7,3699
62,AVCILAR,CIHANGIR,40148,37,169,688,1171,87,46,252,496,3,4,9,5464
63,AVCILAR,DENIZKOSKLER,40147,33,138,516,843,74,39,212,409,2,3,7,4086
64,AVCILAR,FIRUZKOY,40152,19,150,676,1005,18,7,61,135,2,2,7,2073
65,AVCILAR,GUMUSPALA,40151,27,115,446,750,63,34,184,353,2,2,6,3833
66,AVCILAR,MERKEZ,40145,17,64,253,471,44,23,124,241,1,1,4,2751
67,AVCILAR,MUSTAFA KEMALPASA,40150,21,91,416,821,47,25,134,274,1,2,4,3863
68,AVCILAR,TAHTAKALE,40154,5,52,321,658,3,1,26,76,1,1,1,2247
69,AVCILAR,UNIVERSITE,40149,12,64,276,480,19,9,55,113,1,1,4,1617
70,AVCILAR,YESILKENT,40153,36,313,1565,2452,43,20,146,338,4,4,5,5308
71,BAGCILAR,100. YIL,40176,6,22,186,665,7,3,25,61,0,0,1,1233
72,BAGCILAR,BAGLAR,40155,36,86,315,455,33,19,90,165,1,1,3,3267
73,BAGCILAR,BARBAROS,40157,36,74,273,453,50,28,133,242,0,1,2,2646
74,BAGCILAR,CINAR,40163,45,86,360,720,82,45,215,390,1,1,2,2548
75,BAGCILAR,DEMIRKAPI,40171,43,108,509,1013,71,39,192,368,1,1,3,3443
76,BAGCILAR,EVREN,40169,54,144,657,1233,70,38,190,367,1,2,4,3236
77,BAGCILAR,FATIH,40172,25,62,334,808,40,21,107,208,1,1,2,2332
78,BAGCILAR,FEVZI CAKMAK,40173,27,64,311,673,44,24,118,224,1,1,2,2593
79,BAGCILAR,GOZTEPE,40175,19,53,287,683,25,15,71,144,1,1,2,1930
80,BAGCILAR,GUNESLI,40168,47,114,507,961,71,39,190,358,1,1,3,4189
81,BAGCILAR,HURRIYET,40156,49,99,367,570,65,35,171,307,1,1,2,2802
82,BAGCILAR,INONU,40159,46,90,326,525,64,38,169,304,0,1,2,2718
83,BAGCILAR,KAZIM KARABEKIR,40158,46,94,360,607,66,38,174,316,1,1,2,3061
84,BAGCILAR,KEMALPASA,40174,20,50,284,682,30,16,81,160,0,0,1,2045
85,BAGCILAR,KIRAZLI,40166,51,119,501,902,76,42,203,380,1,1,3,4099
86,BAGCILAR,MAHMUTBEY,40170,47,144,694,1236,39,23,110,209,1,2,5,1740
87,BAGCILAR,MERKEZ,40162,26,52,221,434,52,28,137,251,1,0,2,2323
88,BAGCILAR,SANCAKTEPE,40164,23,49,215,419,35,19,92,171,0,1,2,1620
89,BAGCILAR,YAVUZ SELIM,40165,30,69,298,568,47,26,125,234,1,1,2,2432
90,BAGCILAR,YENIGUN,40161,24,43,186,373,54,29,138,250,0,0,2,2068
91,BAGCILAR,YENIMAHALLE,40167,29,73,332,634,48,26,128,242,1,1,2,2821
92,BAGCILAR,YILDIZTEPE,40160,67,130,478,783,110,61,289,518,1,1,3,4367
93,BAHCELIEVLER,BAHCELIEVLER,40177,81,147,488,752,185,99,480,838,2,3,6,6193
94,BAHCELIEVLER,CUMHURIYET,40181,47,87,362,680,97,53,254,459,1,1,3,3989
95,BAHCELIEVLER,COBANCESME,40184,62,125,469,751,83,44,217,393,2,2,4,3437
96,BAHCELIEVLER,FEVZI CAKMAK,40185,37,71,276,470,70,36,180,326,1,1,2,2848
97,BAHCELIEVLER,HURRIYET,40187,56,105,432,757,128,69,335,601,1,1,4,4906
98,BAHCELIEVLER,KOCASINAN MERKEZ,40182,71,151,611,1088,148,83,394,723,2,2,6,6969
99,BAHCELIEVLER,SIYAVUSPASA,40179,88,143,521,922,220,117,567,989,1,2,4,6781
100,BAHCELIEVLER,SOGANLI,40180,74,126,537,1059,189,101,491,875,1,2,4,6850
101,BAHCELIEVLER,SIRINEVLER,40178,105,171,592,945,230,122,592,1028,2,2,6,6563
102,BAHCELIEVLER,YENIBOSNA MERKEZ,40183,74,162,553,796,71,41,193,352,2,3,7,3588
103,BAHCELIEVLER,ZAFER,40186,101,202,827,1466,212,114,558,1015,2,2,6,9075
104,BAKIRKOY,ATAKOY 1. KISIM,40202,6,10,24,32,12,6,31,52,1,0,1,204
105,BAKIRKOY,ATAKOY 2-5-6. KISIM,40194,16,27,61,77,68,36,176,295,1,1,2,1760
106,BAKIRKOY,ATAKOY 3-4-11. KISIM,40201,18,30,75,89,43,23,110,185,1,1,2,1131
107,BAKIRKOY,ATAKOY 7-8-9-10. KISIM,40196,16,38,126,199,63,33,165,291,1,1,4,2371
108,BAKIRKOY,BASINKOY,40200,62,93,200,167,47,35,123,208,1,1,4,1114
109,BAKIRKOY,CEVIZLIK,40192,39,63,188,271,29,16,74,127,0,1,1,663
110,BAKIRKOY,KARTALTEPE,40197,82,132,393,567,166,89,424,725,1,2,4,4460
111,BAKIRKOY,OSMANIYE,40188,44,83,259,349,87,47,225,391,1,1,3,2766
112,BAKIRKOY,SAKIZAGACI,40191,34,50,131,176,41,23,104,176,0,0,1,1092
113,BAKIRKOY,SENLIKKOY,40199,110,234,593,488,122,68,324,561,3,3,8,4483
114,BAKIRKOY,YENIMAHALLE,40190,34,50,132,186,42,23,108,182,0,0,1,894
115,BAKIRKOY,YESILKOY,40189,201,310,696,621,161,92,413,695,3,4,11,3776
116,BAKIRKOY,YESILYURT,40195,25,38,95,99,35,19,91,154,1,1,2,1025
117,BAKIRKOY,ZEYTINLIK,40193,30,49,152,228,27,15,70,121,0,0,1,678
118,BAKIRKOY,ZUHURATBABA,40198,65,99,269,390,103,56,263,447,1,1,3,2493
119,BASAKSEHIR,ALTINSEHIR,40598,10,42,199,374,8,6,28,61,0,0,1,945
120,BASAKSEHIR,BAHCESEHIR 1. KISIM,40871,5,44,278,549,1,0,11,33,0,1,2,1151
121,BASAKSEHIR,BAHCESEHIR 2. KISIM,40872,11,57,311,738,16,7,53,115,1,2,2,1613
122,BASAKSEHIR,BASAK,40357,1,8,66,225,1,0,7,24,1,1,1,1000
123,BASAKSEHIR,BASAKSEHIR,40581,1,3,21,115,1,0,6,18,0,0,1,522
124,BASAKSEHIR,GUVERCINTEPE,40597,26,115,573,1173,21,16,80,183,1,1,3,3188
125,BASAKSEHIR,KAYABASI,40583,4,18,91,261,2,1,9,27,1,1,1,1580
126,BASAKSEHIR,SAHINTEPE,40584,29,128,615,1197,11,8,54,125,1,1,2,2380
127,BASAKSEHIR,SAMLAR,191991,1,7,36,88,0,0,0,0,0,0,1,53
128,BASAKSEHIR,ZIYA GOKALP,40585,27,153,787,1523,10,7,39,84,1,2,6,965
129,BAYRAMPASA,ALTINTEPSI,40207,68,135,483,826,60,37,161,291,1,1,2,2839
130,BAYRAMPASA,CEVATPASA,40203,18,43,175,384,18,12,51,98,0,0,1,1214
131,BAYRAMPASA,ISMET PASA,40209,50,86,260,442,41,28,108,191,0,0,1,1510
132,BAYRAMPASA,KARTALTEPE,40211,68,137,483,1025,67,45,180,331,1,1,2,3056
133,BAYRAMPASA,KOCATEPE,40212,26,55,233,468,30,17,82,154,1,1,2,1653
134,BAYRAMPASA,MURATPASA,40213,116,202,589,1008,93,63,245,435,1,1,2,3394
135,BAYRAMPASA,ORTAMAHALLE,40204,57,107,334,533,40,27,106,189,0,1,1,1588
136,BAYRAMPASA,TERAZIDERE,40206,52,98,309,530,34,24,93,167,0,1,2,1509
137,BAYRAMPASA,VATAN,40205,36,72,229,366,22,16,60,108,0,0,1,1053
138,BAYRAMPASA,YENIDOGAN,40208,57,104,345,582,46,29,122,217,0,1,2,1765
139,BAYRAMPASA,YILDIRIM,40210,66,143,619,1251,69,42,186,348,1,1,3,3483
140,BESIKTAS,ABBASAGA,40219,2,6,31,111,1,1,4,9,0,0,0,136
141,BESIKTAS,AKAT,40234,3,11,73,220,1,1,5,14,0,0,1,329
142,BESIKTAS,ARNAVUTKOY,40231,1,7,52,164,0,0,0,4,0,0,0,90
143,BESIKTAS,BALMUMCU,40223,1,3,24,67,0,0,1,3,0,0,0,84
144,BESIKTAS,BEBEK,40232,2,6,46,143,0,0,2,5,0,0,0,114
145,BESIKTAS,CIHANNUMA,40217,3,7,35,110,2,1,5,10,0,0,0,119
146,BESIKTAS,DIKILITAS,40221,2,4,25,135,2,1,7,16,0,0,0,207
147,BESIKTAS,ETILER,40233,1,4,44,137,0,0,2,8,0,0,0,201
148,BESIKTAS,GAYRETTEPE,40222,1,3,17,93,1,0,6,13,0,0,0,178
149,BESIKTAS,KONAKLAR,40236,1,4,28,106,0,0,4,10,0,0,1,230
150,BESIKTAS,KURUCESME,40228,1,6,38,116,0,0,0,3,0,0,0,74
151,BESIKTAS,KULTUR,40229,0,2,17,65,0,0,1,2,0,0,0,64
152,BESIKTAS,LEVAZIM,40226,0,1,7,40,0,0,1,4,0,0,0,74
153,BESIKTAS,LEVENT,40235,2,8,95,248,0,0,1,4,1,1,1,105
154,BESIKTAS,MECIDIYE,40224,11,32,127,293,6,4,17,38,0,0,0,525
155,BESIKTAS,MURADIYE,40216,1,2,12,66,1,0,3,6,0,0,0,69
156,BESIKTAS,NISBETIYE,40230,1,2,21,103,0,0,2,7,0,0,0,143
157,BESIKTAS,ORTAKOY,40225,7,20,96,239,2,2,9,20,0,0,1,366
158,BESIKTAS,SINANPASA,40215,8,18,71,169,4,2,10,18,0,0,0,147
159,BESIKTAS,TURKALI,40218,6,14,62,190,4,2,10,21,0,0,0,333
160,BESIKTAS,ULUS,40227,1,3,23,88,0,0,1,5,0,0,0,125
161,BESIKTAS,VISNEZADE,40214,5,13,54,170,1,0,4,11,0,1,1,214
162,BESIKTAS,YILDIZ,40220,4,11,55,168,1,0,4,9,1,0,1,169
163,BEYKOZ,ACARLAR,40250,1,8,89,295,0,0,0,0,1,0,0,109
164,BEYKOZ,AKBABA,191701,0,2,18,66,0,0,0,0,0,0,0,33
165,BEYKOZ,ALIBAHADIR,191703,1,2,14,40,0,0,0,0,0,0,0,19
166,BEYKOZ,ANADOLU FENERI,191705,0,2,15,48,0,0,0,0,0,0,0,18
167,BEYKOZ,ANADOLU HISARI,40243,3,10,67,145,0,0,2,5,0,0,0,27
168,BEYKOZ,ANADOLU KAVAGI,40256,1,3,16,49,0,0,0,1,0,0,0,102
169,BEYKOZ,BAKLACI,40257,1,8,64,171,0,0,0,0,1,1,1,95
170,BEYKOZ,BOZHANE,191725,1,3,13,36,0,0,0,0,0,0,0,15
171,BEYKOZ,CUMHURIYET,191727,1,5,28,84,0,0,0,1,0,0,0,41
172,BEYKOZ,CAMLIBAHCE,40253,10,26,122,224,4,3,14,27,0,0,1,356
173,BEYKOZ,CENGELDERE,40258,1,7,58,172,0,0,0,0,0,1,1,108
174,BEYKOZ,CIFTLIK,40259,1,7,61,172,0,0,0,0,0,0,1,120
175,BEYKOZ,CIGDEM,40240,1,6,59,199,0,0,0,5,0,0,0,152
176,BEYKOZ,CUBUKLU,40241,9,34,185,495,3,3,13,33,1,1,1,483
177,BEYKOZ,DERESEKI,191709,0,2,19,66,0,0,0,0,0,0,0,23
178,BEYKOZ,ELMALI,191711,1,4,34,106,0,0,0,0,0,0,0,48
179,BEYKOZ,FATIH,40260,0,4,31,91,0,0,0,1,0,0,0,83
180,BEYKOZ,GOKSU,40244,5,15,80,149,1,0,6,13,0,0,1,140
181,BEYKOZ,GOLLU,191729,0,1,7,19,0,0,0,0,0,0,0,8
182,BEYKOZ,GORELE,191713,1,4,32,91,0,0,0,0,0,0,0,50
183,BEYKOZ,GOZTEPE,40246,4,15,90,209,1,0,5,12,0,0,1,295
184,BEYKOZ,GUMUSSUYU,40237,9,34,176,469,1,1,8,21,0,1,1,357
185,BEYKOZ,INCIRKOY,40238,5,20,149,416,1,1,5,15,0,0,1,368
186,BEYKOZ,ISHAKLI,191731,1,4,26,78,0,0,0,0,0,0,0,29
187,BEYKOZ,KANLICA,40242,1,5,42,119,0,0,0,3,0,0,0,97
188,BEYKOZ,KAVACIK,40247,7,23,134,381,2,1,13,31,0,1,1,545
189,BEYKOZ,KAYNARCA,191715,0,1,8,25,0,0,0,0,0,0,0,12
190,BEYKOZ,KILICLI,191733,0,1,11,36,0,0,0,0,0,0,0,11
191,BEYKOZ,MAHMUTSEVKETPASA,191723,1,5,31,93,0,0,0,0,0,0,0,40
192,BEYKOZ,MERKEZ,40251,0,2,33,122,0,0,0,1,0,0,0,63
193,BEYKOZ,ORTACESME,40254,4,13,83,202,2,1,5,11,0,0,0,196
194,BEYKOZ,OGUMCE,191735,1,3,18,49,0,0,0,0,0,0,0,20
195,BEYKOZ,ORNEKKOY,191721,1,5,38,120,0,0,0,0,0,0,1,69
196,BEYKOZ,PASABAHCE,40239,4,11,72,143,1,0,4,9,0,0,0,161
197,BEYKOZ,PASAMANDIRA,191737,2,6,26,71,0,0,0,1,0,0,0,39
198,BEYKOZ,POLONEZKOY,191717,2,6,32,77,0,0,0,0,0,0,0,27
199,BEYKOZ,POYRAZKOY,16634,1,4,16,43,0,0,0,0,0,0,0,0
200,BEYKOZ,RIVA,191707,0,3,37,134,0,0,0,0,1,0,0,37
201,BEYKOZ,RUZGARLIBAHCE,40248,4,20,86,248,1,1,6,15,0,0,0,166
202,BEYKOZ,SOGUKSU,40249,0,3,41,150,0,0,0,2,0,0,0,94
203,BEYKOZ,TOKATKOY,40255,7,23,137,339,3,2,9,19,0,0,0,324
204,BEYKOZ,YALIKOY,40252,7,18,83,190,2,2,7,15,0,0,0,165
205,BEYKOZ,YAVUZ SELIM,40261,1,8,73,209,0,0,0,0,1,1,1,114
206,BEYKOZ,YENI MAHALLE,40245,13,55,290,679,3,1,15,43,1,0,1,656
207,BEYKOZ,ZERZAVATCI,191739,0,2,12,36,0,0,0,0,0,0,0,22
208,BEYLIKDUZU,ADNAN KAHVECI,40869,27,83,292,624,106,56,285,523,2,5,8,6195
209,BEYLIKDUZU,BARIS,40875,12,39,126,306,84,44,222,394,1,2,5,3284
210,BEYLIKDUZU,BUYUKSEHIR,40877,3,10,30,89,25,13,65,115,0,0,1,1076
211,BEYLIKDUZU,CUMHURIYET,40874,6,14,40,140,36,19,95,168,1,1,2,1051
212,BEYLIKDUZU,DEREAGZI,40870,66,203,594,619,24,10,80,159,4,7,14,1785
213,BEYLIKDUZU,GURPINAR,40867,39,126,397,450,37,20,104,191,2,2,5,2400
214,BEYLIKDUZU,KAVAKLI,40873,40,117,369,524,50,27,147,271,3,5,13,2914
215,BEYLIKDUZU,MARMARA,40893,25,80,241,343,56,28,152,271,3,3,7,2506
216,BEYLIKDUZU,SAHIL,40876,25,65,171,161,12,6,37,67,1,2,4,684
217,BEYLIKDUZU,YAKUPLU,40894,78,213,744,1075,97,53,269,496,4,5,13,4775
218,BEYOGLU,ARAP CAMI,40299,17,29,86,157,0,0,1,2,0,0,1,12
219,BEYOGLU,ASMALI MESCIT,40281,2,4,21,82,0,0,1,3,0,0,0,112
220,BEYOGLU,BEDRETTIN,40300,3,7,26,63,1,0,2,5,0,0,0,225
221,BEYOGLU,BEREKETZADE,40298,4,9,35,89,0,0,1,1,0,0,0,41
222,BEYOGLU,BOSTAN,40291,11,23,76,142,7,6,20,37,0,0,0,198
223,BEYOGLU,BULBUL,40292,4,14,64,172,1,1,4,9,0,0,0,138
224,BEYOGLU,CAMIIKEBIR,40301,28,46,126,195,14,9,34,62,0,1,1,182
225,BEYOGLU,CIHANGIR,40275,2,5,26,111,0,0,2,5,0,0,0,249
226,BEYOGLU,CATMA MESCIT,40283,2,6,25,67,1,1,3,5,0,0,0,169
227,BEYOGLU,CUKUR,40293,3,8,32,97,1,1,3,7,0,0,0,59
228,BEYOGLU,EMEKYEMEZ,40269,11,21,68,123,0,0,1,1,0,0,0,3
229,BEYOGLU,EVLIYA CELEBI,40282,1,2,8,27,0,0,1,1,0,0,0,46
230,BEYOGLU,FETIHTEPE,40262,8,26,148,387,6,5,19,41,0,0,0,75
231,BEYOGLU,FIRUZAGA,40276,3,9,39,128,1,1,4,8,0,0,0,82
232,BEYOGLU,GUMUSSUYU,40278,2,4,22,86,0,0,2,3,0,0,0,82
